"X" "Y"
11.4349 44.295
NA NA
11.4979 44.295
11.5609 44.295
11.5609 44.25
11.4979 44.25
11.4979 44.295
NA NA
11.561 44.295
11.624 44.295
11.624 44.25
11.561 44.25
11.561 44.295
NA NA
11.0566 44.34
11.1196 44.34
11.1196 44.295
11.0566 44.295
11.0566 44.34
NA NA
11.1196 44.34
11.1826 44.34
11.1826 44.295
11.1196 44.295
11.1196 44.34
NA NA
11.1827 44.34
11.2457 44.34
11.2457 44.295
11.1827 44.295
11.1827 44.34
NA NA
11.2457 44.34
11.3087 44.34
11.3087 44.295
11.2457 44.295
11.2457 44.34
NA NA
11.3088 44.34
11.3718 44.34
11.3718 44.295
11.3088 44.295
11.3088 44.34
NA NA
11.3718 44.34
11.4348 44.34
11.4348 44.295
11.3718 44.295
11.3718 44.34
NA NA
11.4349 44.34
11.4979 44.34
11.4979 44.295
11.4349 44.295
11.4349 44.34
NA NA
11.4979 44.34
11.5609 44.34
11.5609 44.295
11.4979 44.295
11.4979 44.34
NA NA
11.561 44.34
11.624 44.34
11.624 44.295
11.561 44.295
11.561 44.34
NA NA
11.624 44.34
11.687 44.34
11.687 44.295
11.624 44.295
11.624 44.34
NA NA
11.6871 44.34
11.7501 44.34
11.7501 44.295
11.6871 44.295
11.6871 44.34
NA NA
10.9935 44.385
11.0565 44.385
11.0565 44.34
10.9935 44.34
10.9935 44.385
NA NA
11.0566 44.385
11.1196 44.385
11.1196 44.34
11.0566 44.34
11.0566 44.385
NA NA
11.1196 44.385
11.1826 44.385
11.1826 44.34
11.1196 44.34
11.1196 44.385
NA NA
11.1827 44.385
11.2457 44.385
11.2457 44.34
11.1827 44.34
11.1827 44.385
NA NA
11.2457 44.385
11.3087 44.385
11.3087 44.34
11.2457 44.34
11.2457 44.385
NA NA
11.3088 44.385
11.3718 44.385
11.3718 44.34
11.3088 44.34
11.3088 44.385
NA NA
11.3718 44.385
11.4348 44.385
11.4348 44.34
11.3718 44.34
11.3718 44.385
NA NA
11.4349 44.385
11.4979 44.385
11.4979 44.34
11.4349 44.34
11.4349 44.385
NA NA
11.4979 44.385
11.5609 44.385
11.5609 44.34
11.4979 44.34
11.4979 44.385
NA NA
11.561 44.385
11.624 44.385
11.624 44.34
11.561 44.34
11.561 44.385
NA NA
11.624 44.385
11.687 44.385
11.687 44.34
11.624 44.34
11.624 44.385
NA NA
11.6871 44.385
11.7501 44.385
11.7501 44.34
11.6871 44.34
11.6871 44.385
NA NA
11.7501 44.385
11.8131 44.385
11.8131 44.34
11.7501 44.34
11.7501 44.385
NA NA
11.0566 44.43
11.1196 44.43
11.1196 44.385
11.0566 44.385
11.0566 44.43
