"X" "Y"
12.56975 44.07
12.50665 44.07
12.50665 44.115
NA NA
12.56975 44.115
12.63285 44.115
12.63285 44.07
12.56975 44.07
12.56975 44.115
NA NA
10.48905 44.16
10.55215 44.16
10.55215 44.115
10.48905 44.115
10.48905 44.16
NA NA
10.55215 44.16
10.61525 44.16
10.61525 44.115
10.55215 44.115
10.55215 44.16
NA NA
10.61515 44.16
10.67825 44.16
10.67825 44.115
10.61515 44.115
10.61515 44.16
NA NA
10.67825 44.16
10.74135 44.16
10.74135 44.115
10.67825 44.115
10.67825 44.16
NA NA
10.74125 44.16
10.80435 44.16
10.80435 44.115
10.74125 44.115
10.74125 44.16
NA NA
10.80435 44.16
10.86745 44.16
10.86745 44.115
10.80435 44.115
10.80435 44.16
NA NA
10.86735 44.16
10.93045 44.16
10.93045 44.115
10.86735 44.115
10.86735 44.16
NA NA
10.93045 44.16
10.99355 44.16
10.99355 44.115
10.93045 44.115
10.93045 44.16
NA NA
10.99345 44.16
11.05655 44.16
11.05655 44.115
10.99345 44.115
10.99345 44.16
NA NA
11.05655 44.16
11.11965 44.16
11.11965 44.115
11.05655 44.115
11.05655 44.16
NA NA
11.11955 44.16
11.18265 44.16
11.18265 44.115
11.11955 44.115
11.11955 44.16
NA NA
11.18265 44.16
11.24575 44.16
11.24575 44.115
11.18265 44.115
11.18265 44.16
NA NA
11.24565 44.16
11.30875 44.16
11.30875 44.115
11.24565 44.115
11.24565 44.16
NA NA
11.49785 44.16
11.56095 44.16
11.56095 44.115
11.49785 44.115
11.49785 44.16
NA NA
11.56095 44.16
11.62405 44.16
11.62405 44.115
11.56095 44.115
11.56095 44.16
NA NA
11.62395 44.16
11.68705 44.16
11.68705 44.115
11.62395 44.115
11.62395 44.16
NA NA
11.68705 44.16
11.75015 44.16
11.75015 44.115
11.68705 44.115
11.68705 44.16
NA NA
11.75005 44.16
11.81315 44.16
11.81315 44.115
11.75005 44.115
11.75005 44.16
NA NA
11.81315 44.16
11.87625 44.16
11.87625 44.115
11.81315 44.115
11.81315 44.16
NA NA
11.87615 44.16
11.93925 44.16
11.93925 44.115
11.87615 44.115
11.87615 44.16
NA NA
11.93925 44.16
12.00235 44.16
12.00235 44.115
11.93925 44.115
11.93925 44.16
NA NA
12.00225 44.16
12.06535 44.16
12.06535 44.115
12.00225 44.115
12.00225 44.16
NA NA
12.06535 44.16
12.12845 44.16
12.12845 44.115
12.06535 44.115
12.06535 44.16
NA NA
12.12835 44.16
12.19145 44.16
12.19145 44.115
12.12835 44.115
12.12835 44.16
NA NA
12.19145 44.16
12.25455 44.16
12.25455 44.115
12.19145 44.115
12.19145 44.16
NA NA
12.25445 44.16
12.31755 44.16
12.31755 44.115
12.25445 44.115
12.25445 44.16
NA NA
12.31755 44.16
12.38065 44.16
12.38065 44.115
12.31755 44.115
12.31755 44.16
NA NA
12.38055 44.16
12.44365 44.16
12.44365 44.115
12.38055 44.115
12.38055 44.16
NA NA
12.44365 44.16
12.50675 44.16
12.50675 44.115
12.44365 44.115
12.44365 44.16
NA NA
10.48905 44.205
10.55215 44.205
10.55215 44.16
10.48905 44.16
10.48905 44.205
NA NA
10.55215 44.205
10.61525 44.205
10.61525 44.16
10.55215 44.16
10.55215 44.205
NA NA
10.61515 44.205
10.67825 44.205
10.67825 44.16
10.61515 44.16
10.61515 44.205
NA NA
10.67825 44.205
10.74135 44.205
10.74135 44.16
10.67825 44.16
10.67825 44.205
NA NA
10.74125 44.205
10.80435 44.205
10.80435 44.16
10.74125 44.16
10.74125 44.205
NA NA
10.80435 44.205
10.86745 44.205
10.86745 44.16
10.80435 44.16
10.80435 44.205
NA NA
10.86735 44.205
10.93045 44.205
10.93045 44.16
10.86735 44.16
10.86735 44.205
NA NA
10.93045 44.205
10.99355 44.205
10.99355 44.16
10.93045 44.16
10.93045 44.205
NA NA
10.99345 44.205
11.05655 44.205
11.05655 44.16
10.99345 44.16
10.99345 44.205
NA NA
11.05655 44.205
11.11965 44.205
11.11965 44.16
11.05655 44.16
11.05655 44.205
NA NA
11.11955 44.205
11.18265 44.205
11.18265 44.16
11.11955 44.16
11.11955 44.205
NA NA
11.18265 44.205
11.24575 44.205
11.24575 44.16
11.18265 44.16
11.18265 44.205
NA NA
11.24565 44.205
11.30875 44.205
11.30875 44.16
11.24565 44.16
11.24565 44.205
NA NA
11.30875 44.205
11.37185 44.205
11.37185 44.16
11.30875 44.16
11.30875 44.205
NA NA
11.37175 44.205
11.43485 44.205
11.43485 44.16
11.37175 44.16
11.37175 44.205
NA NA
11.43485 44.205
11.49795 44.205
11.49795 44.16
11.43485 44.16
11.43485 44.205
NA NA
11.49785 44.205
11.56095 44.205
11.56095 44.16
11.49785 44.16
11.49785 44.205
NA NA
11.56095 44.205
11.62405 44.205
11.62405 44.16
11.56095 44.16
11.56095 44.205
NA NA
11.62395 44.205
11.68705 44.205
11.68705 44.16
11.62395 44.16
11.62395 44.205
NA NA
11.68705 44.205
11.75015 44.205
11.75015 44.16
11.68705 44.16
11.68705 44.205
NA NA
11.75005 44.205
11.81315 44.205
11.81315 44.16
11.75005 44.16
11.75005 44.205
NA NA
11.81315 44.205
11.87625 44.205
11.87625 44.16
11.81315 44.16
11.81315 44.205
NA NA
11.87615 44.205
11.93925 44.205
